table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,会津町,,,会津町
stops,stop_name,en,Aizumachi,,,会津町
stops,stop_name,ja-Hrkt,あいずまち,,,会津町
stops,stop_name,ja,住宅前,,,住宅前
stops,stop_name,en,Jutaku,,,住宅前
stops,stop_name,ja-Hrkt,じゅうたくまえ,,,住宅前
stops,stop_name,ja,余土中学校前,,,余土中学校前
stops,stop_name,en,Yodo Junior High School,,,余土中学校前
stops,stop_name,ja-Hrkt,よどちゅうがっこうまえ,,,余土中学校前
stops,stop_name,ja,余戸,,,余戸
stops,stop_name,en,Yogo,,,余戸
stops,stop_name,ja-Hrkt,ようご,,,余戸
stops,stop_name,ja,余戸南インター,,,余戸南インター
stops,stop_name,en,Yougo-Minami IC,,,余戸南インター
stops,stop_name,ja-Hrkt,ようごみなみいんたー,,,余戸南インター
stops,stop_name,ja,供養堂,,,供養堂
stops,stop_name,en,Kuyodo,,,供養堂
stops,stop_name,ja-Hrkt,くようどう,,,供養堂
stops,stop_name,ja,保免,,,保免
stops,stop_name,en,Homen,,,保免
stops,stop_name,ja-Hrkt,ほうめん,,,保免
stops,stop_name,ja,保具,,,保具
stops,stop_name,en,Hogu,,,保具
stops,stop_name,ja-Hrkt,ほうぐ,,,保具
stops,stop_name,ja,八反地,,,八反地
stops,stop_name,en,Hattanchi,,,八反地
stops,stop_name,ja-Hrkt,はったんち,,,八反地
stops,stop_name,ja,八幡浜駅前,,,八幡浜駅前
stops,stop_name,en,Yahatahama Sta.,,,八幡浜駅前
stops,stop_name,ja-Hrkt,やはたはまえきまえ,,,八幡浜駅前
stops,stop_name,ja,八百屋町,,,八百屋町
stops,stop_name,en,Yaoyamachi,,,八百屋町
stops,stop_name,ja-Hrkt,やおやまち,,,八百屋町
stops,stop_name,ja,公民館前（南斎院）,,,公民館前（南斎院）
stops,stop_name,en,Kominkan (Minamisaya),,,公民館前（南斎院）
stops,stop_name,ja-Hrkt,こうみんかんまえ,,,公民館前（南斎院）
stops,stop_name,ja,公民館前（石手）,,,公民館前（石手）
stops,stop_name,en,Kominkan (Ishite),,,公民館前（石手）
stops,stop_name,ja-Hrkt,こうみんかんまえ,,,公民館前（石手）
stops,stop_name,ja,内子,,,内子
stops,stop_name,en,Uchiko,,,内子
stops,stop_name,ja-Hrkt,うちこ,,,内子
stops,stop_name,ja,内宮,,,内宮
stops,stop_name,en,Uchimiya,,,内宮
stops,stop_name,ja-Hrkt,うちみや,,,内宮
stops,stop_name,ja,刈屋,,,刈屋
stops,stop_name,en,Kariya,,,刈屋
stops,stop_name,ja-Hrkt,かりや,,,刈屋
stops,stop_name,ja,刑務所官舎前,,,刑務所官舎前
stops,stop_name,en,Keimusho Kansha,,,刑務所官舎前
stops,stop_name,ja-Hrkt,けいむしょかんしゃまえ,,,刑務所官舎前
stops,stop_name,ja,別府⑩,,,別府⑩
stops,stop_name,en,Befu,,,別府⑩
stops,stop_name,ja-Hrkt,べふ,,,別府⑩
stops,stop_name,ja,別府（拝志）,,,別府（拝志）
stops,stop_name,en,Beppu (Haishi),,,別府（拝志）
stops,stop_name,ja-Hrkt,べっぷ,,,別府（拝志）
stops,stop_name,ja,利山入口,,,利山入口
stops,stop_name,en,Riyama Iriguchi,,,利山入口
stops,stop_name,ja-Hrkt,りやまいりぐち,,,利山入口
stops,stop_name,ja,利楽温泉,,,利楽温泉
stops,stop_name,en,Riraku Onsen Botchan Gekijo,,,利楽温泉
stops,stop_name,ja-Hrkt,りらくおんせん・ぼっちゃんげきじょうまえ,,,利楽温泉
stops,stop_name,ja,則之内,,,則之内
stops,stop_name,en,Sunouchi,,,則之内
stops,stop_name,ja-Hrkt,すのうち,,,則之内
stops,stop_name,ja,則之内中組,,,則之内中組
stops,stop_name,en,Sunouchinakagumi,,,則之内中組
stops,stop_name,ja-Hrkt,すのうちなかぐみ,,,則之内中組
stops,stop_name,ja,勝岡,,,勝岡
stops,stop_name,en,Katsuoka,,,勝岡
stops,stop_name,ja-Hrkt,かつおか,,,勝岡
stops,stop_name,ja,勝岡住宅前,,,勝岡住宅前
stops,stop_name,en,Katsuoka Jutaku,,,勝岡住宅前
stops,stop_name,ja-Hrkt,かつおかじゅうたくまえ,,,勝岡住宅前
stops,stop_name,ja,勝岡東,,,勝岡東
stops,stop_name,en,Katsuoka-Higashi,,,勝岡東
stops,stop_name,ja-Hrkt,かつおかひがし,,,勝岡東
stops,stop_name,ja,勝岡神社前,,,勝岡神社前
stops,stop_name,en,Katsuoka Jinja,,,勝岡神社前
stops,stop_name,ja-Hrkt,かつおかじんじゃまえ,,,勝岡神社前
stops,stop_name,ja,北久米,,,北久米
stops,stop_name,en,Kitakume,,,北久米
stops,stop_name,ja-Hrkt,きたくめ,,,北久米
stops,stop_name,ja,北伊予小学校前,,,北伊予小学校前
stops,stop_name,en,Kitaiyo Elementary School,,,北伊予小学校前
stops,stop_name,ja-Hrkt,きたいよしょうがっこうまえ,,,北伊予小学校前
stops,stop_name,ja,北伊予踏切前,,,北伊予踏切前
stops,stop_name,en,Kitaiyo Fumikiri,,,北伊予踏切前
stops,stop_name,ja-Hrkt,きたいよふみきりまえ,,,北伊予踏切前
stops,stop_name,ja,北伊予駅前,,,北伊予駅前
stops,stop_name,en,Kitaiyo Sta.,,,北伊予駅前
stops,stop_name,ja-Hrkt,きたいよえきまえ,,,北伊予駅前
stops,stop_name,ja,北古川,,,北古川
stops,stop_name,en,Kitafurukawa,,,北古川
stops,stop_name,ja-Hrkt,きたふるかわ,,,北古川
stops,stop_name,ja,北吉井小学校前,,,北吉井小学校前
stops,stop_name,en,Kitayoshii Elementary School,,,北吉井小学校前
stops,stop_name,ja-Hrkt,きたよしいしょうがっこうまえ,,,北吉井小学校前
stops,stop_name,ja,北吉田,,,北吉田
stops,stop_name,en,Kitayoshida,,,北吉田
stops,stop_name,ja-Hrkt,きたよしだ,,,北吉田
stops,stop_name,ja,北宮西町,,,北宮西町
stops,stop_name,en,Kita-Miyanishicho,,,北宮西町
stops,stop_name,ja-Hrkt,きたみやにしちょう,,,北宮西町
stops,stop_name,ja,北山田,,,北山田
stops,stop_name,en,Kitayamada,,,北山田
stops,stop_name,ja-Hrkt,きたやまだ,,,北山田
stops,stop_name,ja,北山越,,,北山越
stops,stop_name,en,Kitayamagoe,,,北山越
stops,stop_name,ja-Hrkt,きたやまごえ,,,北山越
stops,stop_name,ja,北川原,,,北川原
stops,stop_name,en,Kitagawara,,,北川原
stops,stop_name,ja-Hrkt,きたがわら,,,北川原
stops,stop_name,ja,北斎院,,,北斎院
stops,stop_name,en,Kitasaya,,,北斎院
stops,stop_name,ja-Hrkt,きたさや,,,北斎院
stops,stop_name,ja,北斎院住宅前,,,北斎院住宅前
stops,stop_name,en,Kitasaya Jutaku,,,北斎院住宅前
stops,stop_name,ja-Hrkt,きたさやじゅうたくまえ,,,北斎院住宅前
stops,stop_name,ja,北本町,,,北本町
stops,stop_name,en,Kita-Hommachi,,,北本町
stops,stop_name,ja-Hrkt,きたほんまち,,,北本町
stops,stop_name,ja,北条,,,北条
stops,stop_name,en,Hojo,,,北条
stops,stop_name,ja-Hrkt,ほうじょう,,,北条
stops,stop_name,ja,北条本町,,,北条本町
stops,stop_name,en,Hojo Hommachi,,,北条本町
stops,stop_name,ja-Hrkt,ほうじょうほんまち,,,北条本町
stops,stop_name,ja,北条高校前,,,北条高校前
